video;views;likes;comentarios;publicacao;link_video;categoria;horas-publicacao;views/hour
Ep.1 Corrida das Blogueiras 5: COMBO DE VERÃO DAS BLOGUEIRAS com @Blogueirinha;346650;51131;4474;2023-11-07 22:59:09+00:00;https://www.youtube.com/watch?v=-_hCTBtn4aY;Entertainment;20.0;17332.5
LIGA MFL: GRANDE FINAL 🔥| NOISE - CRIAS - FAZ O P - F99 - AJF  | Free Fire AO VIVO #ligamfl - DIA 1;578355;49021;59;2023-11-08 02:43:25+00:00;https://www.youtube.com/watch?v=Ot7t2Bsx1jY;Gaming;16.0;36147.19
Ludmilla, Pabllo Vittar, Marina Sena, Duda Beat e mais 🔥🎶 | Medley | Prêmio Multishow 2023;84384;4321;466;2023-11-08 02:52:15+00:00;https://www.youtube.com/watch?v=176sdftBgYA;Music;16.0;5274.0
수진 (SOOJIN) '아가씨' Official MV;2258557;344675;26465;2023-11-08 09:00:27+00:00;https://www.youtube.com/watch?v=1p2cafgpD1M;Music;10.0;225855.7
Pedro Sampaio, Joelma, NXZero, Tati Quebra-Barraco e mais! | Medley | Prêmio Multishow 2023;78158;4995;876;2023-11-08 01:39:56+00:00;https://www.youtube.com/watch?v=c9iPhnDjbxo;Music;17.0;4597.53
Luísa Sonza canta 'Chico' e 'La Muerte' no Prêmio Multishow ✨ | Medley | Prêmio Multishow 2023;87565;4803;294;2023-11-08 04:21:38+00:00;https://www.youtube.com/watch?v=iNKj4BVtiAw;Music;15.0;5837.67
BASTIDORES | VASCO 1 X 0 BOTAFOGO | VASCOTV;128003;19034;645;2023-11-08 00:30:10+00:00;https://www.youtube.com/watch?v=C03HDhgCeqw;Sports;18.0;7111.28
EPISÓDIO 08 - 2/5: Semifinal EMOCIONANTE | TEMP 05 | MASTERCHEF PROFISSIONAIS (07/11/2023);320200;9793;513;2023-11-08 08:01:00+00:00;https://www.youtube.com/watch?v=pLoAhwLjAB0;Entertainment;11.0;29109.09
ZANELLA E EMANUELLY… O QUE É ISSO?;239766;16513;671;2023-11-07 21:30:02+00:00;https://www.youtube.com/watch?v=Gs9DKhhSjew;Entertainment;21.0;11417.43
Gabriela Rocha - Me Atraiu (Reimagined);123855;15675;1317;2023-11-07 20:00:24+00:00;https://www.youtube.com/watch?v=_UN2gwabRBI;Music;23.0;5385.0
"""I Might Forgive... But I Don't Forget"" Full Conversation with Jay ""Jeezy"" Jenkins & Nia Long";614308;36093;5313;2023-11-07 23:00:07+00:00;https://www.youtube.com/watch?v=YZhyxRv4CyE;Entertainment;20.0;30715.4
AC Milan vs. Paris Saint-Germain: Extended Highlights | UCL Group Stage MD 4 | CBS Sports Golazo;752266;9215;540;2023-11-07 22:17:33+00:00;https://www.youtube.com/watch?v=zfbBUSIC2Y8;Sports;21.0;35822.19
Tottenham Hotspur v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 11/6/2023 | NBC Sports;1105648;14259;2447;2023-11-06 22:49:32+00:00;https://www.youtube.com/watch?v=YdzP7UPUoW8;Sports;44.0;25128.36
REACHER Season 2 - Official Trailer | Prime Video;2536734;83207;4441;2023-11-07 14:00:31+00:00;https://www.youtube.com/watch?v=tC-rRhQcnlI;Entertainment;29.0;87473.59
Why Did You Send THIS To Me?!?;574871;63262;2206;2023-11-07 20:00:25+00:00;https://www.youtube.com/watch?v=e4LuhgBtsyY;Entertainment;23.0;24994.39
N7 Day 2023;325884;22068;2576;2023-11-07 21:04:46+00:00;https://www.youtube.com/watch?v=XefLOWmcFpY;Gaming;22.0;14812.91
HIDE & SEEK In OG FORTNITE!;577384;16161;352;2023-11-07 16:00:23+00:00;https://www.youtube.com/watch?v=NQUt4vZDoho;Gaming;27.0;21384.59
You're Wearing Your Socks WRONG | Style Theory;393814;30265;3649;2023-11-07 22:06:56+00:00;https://www.youtube.com/watch?v=d15z6Xyvim0;Howto & Style;21.0;18753.05
The Marvels | Final Trailer | In Theaters Friday;4259675;75068;9104;2023-11-07 02:54:14+00:00;https://www.youtube.com/watch?v=uwmDH12MAA4;Entertainment;40.0;106491.88
