video;views;likes;comentarios;publicacao;link_video;categoria;horas-publicacao;views/hour
New York Knicks x Boston Celtics | AO VIVO COM IMAGENS EM PORTUGUÊS;511021;56222;15;2023-11-14 03:09:00+00:00;https://www.youtube.com/watch?v=FgoRRxDTmGk;Sports;11.0;46456.45
AO VIVO E COM IMAGENS: SANTOS X SÃO PAULO | SEMIFINAL - VOLTA | PAULISTÃO FEMININO 2023;466541;14720;51;2023-11-14 02:27:13+00:00;https://www.youtube.com/watch?v=x47X1yJJoNM;Sports;12.0;38878.42
Tchau Obrigado 2 - MC Ryan SP, Kadu, IG, MC GP, Kanhoto, Paulin Da Capital, MC GH Do 7 (DJ Victor);353158;39675;2775;2023-11-13 22:00:10+00:00;https://www.youtube.com/watch?v=8dfSth3DrO4;Music;16.0;22072.38
skibidi toilet 67 (part 3);17358836;1346036;148514;2023-11-14 02:00:09+00:00;https://www.youtube.com/watch?v=vIgnPmmcSXs;Entertainment;12.0;1446569.67
DE FRENTE COM BLOGUEIRINHA: ESPECIAL FINAL DRAG RACE BRASIL - T2E29 | DiaTV;197641;17921;473;2023-11-14 01:17:57+00:00;https://www.youtube.com/watch?v=h5Q1BE2vw8g;Entertainment;13.0;15203.15
Mulher de líder de facção criminosa é recebida no Ministério da Justiça;278230;10181;3184;2023-11-13 22:28:09+00:00;https://www.youtube.com/watch?v=9VnS0EjMGHw;News & Politics;16.0;17389.38
Alexandre Correa afirma que mentiu sobre agressão de Ana Hickmann | Fofocalizando (13/11/23);200393;5576;437;2023-11-13 22:00:46+00:00;https://www.youtube.com/watch?v=3-aBv1AoMTo;Entertainment;16.0;12524.56
CHARLLES TROLA TÕE COM UM SAPO NO SEU ANIVERSÁRIO 😂 | CHÁCARA COMÉDIA SELVAGEM;193546;22434;432;2023-11-13 21:30:05+00:00;https://www.youtube.com/watch?v=dHgw6IIqswI;Comedy;17.0;11385.06
#OwRangel 14 - FAZENDO M3RD4 SOZINHO;97736;14488;509;2023-11-13 15:01:50+00:00;https://www.youtube.com/watch?v=vOobgv3etm8;Comedy;23.0;4249.39
TET A TET - PRISCILA JÚ;209436;31728;1506;2023-11-12 22:18:15+00:00;https://www.youtube.com/watch?v=PuCqKuq7cos;People & Blogs;40.0;5235.9
THE GARFIELD MOVIE - Official Trailer (HD);4670887;90585;7847;2023-11-13 14:00:22+00:00;https://www.youtube.com/watch?v=IeFWNtMo1Fs;Entertainment;24.0;194620.29
Chelsea v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 11/12/2023 | NBC Sports;1413759;23566;1474;2023-11-12 19:51:41+00:00;https://www.youtube.com/watch?v=wtoHZg0RstQ;Sports;42.0;33660.93
Watch his reaction when he’s told he’s a GOOD BOY for the first time;749421;33623;4726;2023-11-13 19:01:18+00:00;https://www.youtube.com/watch?v=_qtSGh9yjs4;Entertainment;19.0;39443.21
Even Fancier: Paintings;668538;56089;2389;2023-11-13 14:44:09+00:00;https://www.youtube.com/watch?v=9t2Y5kPp7fM;Comedy;24.0;27855.75
Red Velvet 레드벨벳 'Chill Kill' MV;5602479;476781;24171;2023-11-13 09:01:12+00:00;https://www.youtube.com/watch?v=xlyrt5eAtKI;Music;29.0;193188.93
LAST TO LEAVE THE BOX!! (EX COUPLES EDITION);616354;19630;1632;2023-11-13 18:30:10+00:00;https://www.youtube.com/watch?v=P6z6PmYfhrs;Entertainment;20.0;30817.7
Film Theory: The FNAF Movie Just Changed the LORE!;3190075;198130;7078;2023-11-12 19:05:34+00:00;https://www.youtube.com/watch?v=okAAL53Rj_0;Film & Animation;43.0;74187.79
Something weird happens when you keep squeezing;983746;37235;1346;2023-11-13 13:00:28+00:00;https://www.youtube.com/watch?v=NqabT21d8VM;News & Politics;25.0;39349.84
I Hate Traveling.;368962;49360;3333;2023-11-13 15:17:45+00:00;https://www.youtube.com/watch?v=lLLpDGbsP74;People & Blogs;23.0;16041.83
Doja Cat answers the hard - hitting questions YTP;201618;31238;2059;2023-11-13 17:00:43+00:00;https://www.youtube.com/watch?v=oJ-i5q9OH8E;Music;21.0;9600.86
