video;views;likes;comentarios;publicacao;link_video;horas-publicacao;views/hour
[PT/EN] RAMON DINO - Flow #293;1003769;83832;1716;2023-11-05 20:44:55+00:00;https://www.youtube.com/watch?v=BhS9eJrlusU;20.0;50188.45
O QUE AINDA NÃO FALARAM SOBRE A DERROTA DO RAMON DINO PARA O CBUM;327862;28522;1613;2023-11-05 23:15:00+00:00;https://www.youtube.com/watch?v=GxZ2LaZ7XnA;18.0;18214.56
VITÓRIA X VILA NOVA - AO VIVO E COM IMAGENS - Brasileirão Série B 23;444794;19889;18;2023-11-05 23:26:47+00:00;https://www.youtube.com/watch?v=4hx3SD2qidU;18.0;24710.78
MINHA OPINIÃO SOBRE O ENEM 2023 (Débora Aladim);81944;18212;1238;2023-11-06 02:44:51+00:00;https://www.youtube.com/watch?v=flM1egug_2w;14.0;5853.14
VEJA A DISPUTA DE PÊNALTIS QUE DEU O OURO PRO BRASIL NO FUTEBOL MASCULINO DO PAN-AMERICANO 2023;1477526;41148;1404;2023-11-05 02:23:52+00:00;https://www.youtube.com/watch?v=8IkI6xtW6Nk;39.0;37885.28
Ludmilla canta o Hino Nacional no GP de São Paulo de Fórmula 1;236677;3218;5386;2023-11-05 17:22:42+00:00;https://www.youtube.com/watch?v=n4dnaeRgiEA;24.0;9861.54
PRÉVIAS RAMON NO PALCO - CLASSIC PHYSIQUE E MENS PHYSIQUE - MR. OLYMPIA 2023 #328;2060974;168511;741;2023-11-04 17:08:12+00:00;https://www.youtube.com/watch?v=yARcFmEa-Bg;48.0;42936.96
Race Highlights | 2023 Sao Paulo Grand Prix;4223311;96796;4234;2023-11-05 19:41:38+00:00;https://www.youtube.com/watch?v=WkLTWmlTaJM;22.0;191968.68
Filha de Raulzinho canta e emociona o pai e o avô | Programa Raul Gil (04/11/23);1119219;3965;234;2023-11-04 21:53:18+00:00;https://www.youtube.com/watch?v=CmOdW7Bjbac;43.0;26028.35
FORTALEZA 0 X 2 FLAMENGO  | MELHORES MOMENTOS | 32ª RODADA BRASILEIRÃO 2023 | ge.globo;809572;33174;1936;2023-11-05 21:13:17+00:00;https://www.youtube.com/watch?v=hDfmhdtaIZw;20.0;40478.6
Film Theory: The Amazing Digital Circus is LYING To You!;1560835;112979;10548;2023-11-05 19:06:09+00:00;https://www.youtube.com/watch?v=FYF7l-lim10;22.0;70947.05
Cities Skylines 2, but I elected an Ai as the Mayor;679536;41088;1831;2023-11-05 21:53:49+00:00;https://www.youtube.com/watch?v=2fWsaEfQjZc;19.0;35765.05
We Powered a Village in Africa;3491184;365966;12954;2023-11-05 12:00:01+00:00;https://www.youtube.com/watch?v=1FQvRZg3bcg;29.0;120385.66
Moving Again… Our Last Video In Colorado;292229;16043;1979;2023-11-05 19:14:10+00:00;https://www.youtube.com/watch?v=N4kqqOZAlZE;22.0;13283.14
Insulation Lean-To Camping;372986;36066;4172;2023-11-05 23:00:10+00:00;https://www.youtube.com/watch?v=8W-2VVIeZPw;18.0;20721.44
Kevin O’Connell’s Locker Room Speech Following Victory vs. Atlanta Falcons;122058;4002;558;2023-11-05 23:18:11+00:00;https://www.youtube.com/watch?v=s40l2xCSWDo;18.0;6781.0
Full Cabin Tour Before & After 3 Years of Renovations;364016;28739;1301;2023-11-05 16:00:04+00:00;https://www.youtube.com/watch?v=9K2KSi8FnG8;25.0;14560.64
SML Movie: Five Nights At Freddy's 2;3338765;333172;48177;2023-11-04 23:58:53+00:00;https://www.youtube.com/watch?v=Nvr7R_yL6f4;41.0;81433.29
Coach Pierce's Locker Room Victory Speech vs. Giants | Raiders | NFL;121149;4778;665;2023-11-06 01:34:48+00:00;https://www.youtube.com/watch?v=68Opz--CJac;16.0;7571.81
Scorpio 🦂 Palette & Collection Reveal! | Jeffree Star Cosmetics;273792;23173;3419;2023-11-05 18:00:03+00:00;https://www.youtube.com/watch?v=XCuQU_uUD4w;23.0;11904.0
