video;views;likes;comentarios;publicacao;link_video;categoria;horas-publicacao;views/hour
Madame Teia | Trailer Oficial Dublado;247630;16853;2025;2023-11-15 14:00:48+00:00;https://www.youtube.com/watch?v=yGouqVQ-wUw;Film & Animation;8.0;30953.75
Ep. 2 Corrida das Blogueiras 5: MAKE ARTÍSTICA - INVASÃO ALIENÍGENA com @VictorNogueiraMakeups;374307;47217;3644;2023-11-14 22:00:11+00:00;https://www.youtube.com/watch?v=2uXVkzGHrBo;Entertainment;24.0;15596.12
Luísa Sonza, Tokischa - La Muerte;493473;33288;2053;2023-11-14 21:00:08+00:00;https://www.youtube.com/watch?v=BC9pBqO94mM;Music;25.0;19738.92
REPÓRTER DOIDÃO | ENEM 2023;850712;113972;4357;2023-11-14 12:00:48+00:00;https://www.youtube.com/watch?v=uw-zFtUQwOo;Comedy;34.0;25020.94
Agora é OFICIAL, nos MUDAMOS pra CASA nova! - Diário da obra #21;160665;24747;528;2023-11-14 21:00:07+00:00;https://www.youtube.com/watch?v=TmwGbuX_drA;Howto & Style;25.0;6426.6
COMPREI 2 FH 460 2024 NOVOS 😍 GRANDE REVELAÇÃO;130161;20216;581;2023-11-14 21:00:24+00:00;https://www.youtube.com/watch?v=pU9qexjSNlo;Entertainment;25.0;5206.44
Tchau Obrigado 2 - MC Ryan SP, Kadu, IG, MC GP, Kanhoto, Paulin Da Capital, MC GH Do 7 (DJ Victor);1107706;68469;3816;2023-11-13 22:00:10+00:00;https://www.youtube.com/watch?v=8dfSth3DrO4;Music;48.0;23077.21
SIM, NOVE GOLS! | BRASIL 9 X 0 NOVA CALEDÔNIA | MELHORES MOMENTOS | COPA DO MUNDO SUB-17 FIFA™ 2023;604574;16276;1049;2023-11-14 11:37:04+00:00;https://www.youtube.com/watch?v=OFoKDSri7Ik;Sports;34.0;17781.59
PEQUENOS DETALHES QUE VOCÊ PERDEU NO TRAILER DE DIVERTIDA MENTE 2;375224;12033;211;2023-11-14 14:00:21+00:00;https://www.youtube.com/watch?v=N5SDvuhX0Xk;Film & Animation;32.0;11725.75
New York Knicks x Boston Celtics | AO VIVO COM IMAGENS EM PORTUGUÊS;549099;56669;23;2023-11-14 03:09:00+00:00;https://www.youtube.com/watch?v=FgoRRxDTmGk;Sports;43.0;12769.74
Warriors & Timberwolves Heated Scuffle, Draymond & Klay Ejected;247784;2462;2200;2023-11-15 03:34:37+00:00;https://www.youtube.com/watch?v=NjTgqqG_gJU;Sports;18.0;13765.78
The Inside Guys React to Warriors-TWolves Scuffle | NBA on TNT;486732;7074;2336;2023-11-15 06:44:07+00:00;https://www.youtube.com/watch?v=EkKeWf6BXIM;Sports;15.0;32448.8
History Is Repeating Itself...;592338;41691;1871;2023-11-14 23:43:14+00:00;https://www.youtube.com/watch?v=ZpEAL1mxdaI;Sports;22.0;26924.45
McDaniels on ejection: 'I didn't know Draymond was gonna do all that';163395;1046;716;2023-11-15 06:07:42+00:00;https://www.youtube.com/watch?v=GfBxjWSmaSA;Sports;16.0;10212.19
