video;views;likes;comentarios;publicacao;link_video;categoria;horas-publicacao;views/hour
Madame Teia | Trailer Oficial Dublado;1343330;21344;2586;2023-11-15 14:00:48+00:00;https://www.youtube.com/watch?v=yGouqVQ-wUw;Film & Animation;24.0;55972.08
What If...? | Temporada 2 | Trailer Oficial Dublado | Disney+;218989;26235;776;2023-11-15 17:44:24+00:00;https://www.youtube.com/watch?v=EzkZiJR662M;Entertainment;21.0;10428.05
Brasileiros me mandaram para Coreia do Norte;248198;45469;19753;2023-11-15 16:15:31+00:00;https://www.youtube.com/watch?v=rYyvT2o09FA;People & Blogs;22.0;11281.73
BLACKPINK: A VR Encore – Official Teaser;566017;112144;4570;2023-11-15 22:00:10+00:00;https://www.youtube.com/watch?v=gExhbUo61n0;Music;16.0;35376.06
Ep. 2 Corrida das Blogueiras 5: MAKE ARTÍSTICA - INVASÃO ALIENÍGENA com @VictorNogueiraMakeups;478754;52759;4077;2023-11-14 22:00:11+00:00;https://www.youtube.com/watch?v=2uXVkzGHrBo;Entertainment;40.0;11968.85
Drake - First Person Shooter ft. J Cole;2517756;306899;18151;2023-11-15 20:26:07+00:00;https://www.youtube.com/watch?v=Xty2gi5cMa8;Music;18.0;139875.33
Luísa Sonza, Tokischa - La Muerte;725460;37357;2230;2023-11-14 21:00:08+00:00;https://www.youtube.com/watch?v=BC9pBqO94mM;Music;41.0;17694.15
REPÓRTER DOIDÃO | ENEM 2023;1028462;127342;4876;2023-11-14 12:00:48+00:00;https://www.youtube.com/watch?v=uw-zFtUQwOo;Comedy;50.0;20569.24
Agora é OFICIAL, nos MUDAMOS pra CASA nova! - Diário da obra #21;199768;27502;568;2023-11-14 21:00:07+00:00;https://www.youtube.com/watch?v=TmwGbuX_drA;Howto & Style;41.0;4872.39
Tchau Obrigado 2 - MC Ryan SP, Kadu, IG, MC GP, Kanhoto, Paulin Da Capital, MC GH Do 7 (DJ Victor);1364045;75090;4100;2023-11-13 22:00:10+00:00;https://www.youtube.com/watch?v=8dfSth3DrO4;Music;64.0;21313.2
MADAME WEB – Official Trailer (HD);6639378;67645;13928;2023-11-15 14:13:00+00:00;https://www.youtube.com/watch?v=s_76M4c4LTo;Entertainment;24.0;276640.75
Marvel Studios’ What If…? Season 2 | Official Trailer | Disney+;4174462;226055;8443;2023-11-15 17:00:24+00:00;https://www.youtube.com/watch?v=TiEVqZ2Bc_c;Entertainment;21.0;198783.9
How to Win an Interstellar War;2311167;137029;7669;2023-11-15 15:00:01+00:00;https://www.youtube.com/watch?v=tybKnGZRwcU;Education;23.0;100485.52
The Sexiest Batman Alive, The Guy on the Chiefs, and A Kelce Duet | Ep 64;1081067;35185;4158;2023-11-15 14:30:09+00:00;https://www.youtube.com/watch?v=hsCPJ6y9KRE;Sports;24.0;45044.46
The Inside Guys React to Warriors-TWolves Scuffle | NBA on TNT;787590;8840;2759;2023-11-15 06:44:07+00:00;https://www.youtube.com/watch?v=EkKeWf6BXIM;Sports;32.0;24612.19
This TRANSPARENT ENGINE is Fascinating (How Engines Work) - Smarter Every Day 292;734437;39786;1643;2023-11-15 15:00:02+00:00;https://www.youtube.com/watch?v=TbhF7jTLlG4;Science & Technology;23.0;31932.04
10 Things Travis Scott Can't Live Without | GQ;611152;49839;1802;2023-11-15 17:00:16+00:00;https://www.youtube.com/watch?v=LxT_cqokriQ;Entertainment;21.0;29102.48
Suicide Squad: Kill the Justice League - Suicide Squad Insider 01 - Story & Gameplay;300243;9876;3165;2023-11-15 18:00:08+00:00;https://www.youtube.com/watch?v=eo_BBiFfZy4;Gaming;20.0;15012.15
Warriors & Timberwolves Heated Scuffle, Draymond & Klay Ejected;298487;2615;2309;2023-11-15 03:34:37+00:00;https://www.youtube.com/watch?v=NjTgqqG_gJU;Sports;35.0;8528.2
